GeneName	YFR-1	YFR-2	YFR-3	YFR-4	YFR-5	YFR-6
OSBPL5	8.911067707	8.802491108	8.861930204	9.26218322	9.230813282	9.100150956
OSBPL6	9.404934829	9.490740879	9.295215516	9.705759285	9.654675386	9.770310885
OSBPL7	7.988855485	8.190626277	8.173428281	8.180918189	8.359914565	8.017319759
OSBPL8	11.18236638	11.41328177	11.29413098	10.94890356	11.11738121	11.13410843
OSBPL9	11.53211655	11.64347941	11.53275175	11.30763437	11.48806332	11.46680193
OSCAR	6.66076346	6.741438139	6.921820414	5.739402859	5.818538957	5.902288908
OSCP1	5.60418604	5.841028838	5.67653462	6.487240206	6.40907282	6.424672901
OSER1	10.24364057	10.28335548	10.09917404	10.51742183	10.64767298	10.70238785
OSER1-AS1	6.939300993	7.099538546	7.130635391	7.199439008	7.13709425	7.333153231
OSGEP	9.914099111	9.831891056	9.896759622	10.05067814	10.12485473	10.14140145
OSGEPL1	7.927861011	8.071496986	8.062105187	7.515545681	7.696721963	7.577852518
OSGEPL1-AS1	2.069283121	2.040344462	2.06062228	1.966711646	1.919472017	2.138451977
OSGIN1	5.23943295	5.420035875	5.24477051	5.340672723	5.375471193	5.542836531
OSGIN2	8.486318827	8.56814172	8.545867709	9.311412818	9.461299114	9.585424879
OSM	0	0	0	0	0	0
OSMR	7.202942795	6.952403052	7.193056096	9.554396747	9.595306432	9.641729097
OSMR-AS1	0.672450634	0.667824601	0.701504944	0.769997856	0.662920809	0.828953794
OSR1	0.089109868	0.252126515	0.113907022	0.11443568	0.041605581	0.089084107
OSR2	0.66973326	0.614102699	0.506971704	0.471866727	0.468885299	0.518028517
OST4	11.26847923	11.26542067	11.21160078	11.26380564	11.18123068	11.22933722
OSTC	11.4629771	11.63369929	11.46583044	12.18711729	12.34917825	12.34535512
OSTCP1	2.344010793	2.390508779	2.411620756	2.531781743	2.525165489	2.489831268
OSTF1	9.032999981	9.11486103	9.037821885	9.430688044	9.418419231	9.406973208
OSTM1	8.928054316	8.985139478	8.901954488	9.439899897	9.4599798	9.470798457
OSTM1-AS1	-0.041041604	-0.043720811	-0.044693032	-0.04456634	-0.014909155	-0.041051244
OSTN	-1.093952901	-1.097150453	-1.098338259	-1.098182429	-1.009252575	-1.093964257
OSTN-AS1	-0.298315437	-0.300584151	-0.301407717	-0.232478605	-0.2711161	-0.257978861
OTC	0	0	0	0	0	0
OTOA	2.604967996	2.677388266	2.548299481	2.427268111	2.405521008	2.390058638
OTOF	3.158568583	3.186078441	3.105661595	3.425645768	3.571757914	3.332219289
OTOG	5.612719329	5.923272266	5.863117978	5.733133114	5.478699916	5.331260514
OTOGL	5.043775973	5.138201223	5.10782272	4.887993785	4.737405914	5.043354669
OTOL1	0	0	0	0	0	0
OTOP1	-1.271847009	-1.274815778	-1.275918597	-1.275773917	-1.278073396	-1.271857552
OTOP2	0.576038229	0.563950996	0.525398014	0.490410847	0.551183906	0.495724962
OTOP3	1.770498013	1.792636991	1.716232551	1.752399328	1.835205946	1.770448748
OTOR	-1.494152344	-1.496617065	-1.471676449	-1.497412527	-1.499321592	-1.494161097
OTOS	1.456918566	1.540702742	1.408012994	1.13739492	1.132011074	1.146804527
